srcChain,dstChain,defaultExecutorConfig.maxMessageSize,defaultExecutorConfig.executorAddress,,executorConfig.maxMessageSize,executorConfig.executorAddress
fraxtal,linea,10000,0x41Bdb4aa4A63a5b2Efc531858d3118392B1A1C3d,,0,0x0000000000000000000000000000000000000000
fraxtal,aurora,10000,0x41Bdb4aa4A63a5b2Efc531858d3118392B1A1C3d,,0,0x0000000000000000000000000000000000000000
fraxtal,hyperliquid,10000,0x41Bdb4aa4A63a5b2Efc531858d3118392B1A1C3d,,0,0x0000000000000000000000000000000000000000
fraxtal,katana,10000,0x41Bdb4aa4A63a5b2Efc531858d3118392B1A1C3d,,0,0x0000000000000000000000000000000000000000
fraxtal,plumephoenix,10000,0x41Bdb4aa4A63a5b2Efc531858d3118392B1A1C3d,,0,0x0000000000000000000000000000000000000000
fraxtal,scroll,10000,0x41Bdb4aa4A63a5b2Efc531858d3118392B1A1C3d,,0,0x0000000000000000000000000000000000000000
fraxtal,unichain,10000,0x41Bdb4aa4A63a5b2Efc531858d3118392B1A1C3d,,0,0x0000000000000000000000000000000000000000
fraxtal,worldchain,10000,0x41Bdb4aa4A63a5b2Efc531858d3118392B1A1C3d,,0,0x0000000000000000000000000000000000000000
fraxtal,plasma,10000,0x41Bdb4aa4A63a5b2Efc531858d3118392B1A1C3d,,0,0x0000000000000000000000000000000000000000
base,fraxtal,10000,0x2CCA08ae69E0C44b18a57Ab2A87644234dAebaE4,,0,0x0000000000000000000000000000000000000000
blast,ethereum,10000,0x4208D6E27538189bB48E603D6123A94b8Abe0A0b,,0,0x0000000000000000000000000000000000000000
blast,fraxtal,10000,0x4208D6E27538189bB48E603D6123A94b8Abe0A0b,,0,0x0000000000000000000000000000000000000000
mode,fraxtal,10000,0x4208D6E27538189bB48E603D6123A94b8Abe0A0b,,0,0x0000000000000000000000000000000000000000
sei,fraxtal,-,-,,-,-
xlayer,fraxtal,10000,0xcCE466a522984415bC91338c232d98869193D46e,,0,0x0000000000000000000000000000000000000000
sonic,fraxtal,10000,0x4208D6E27538189bB48E603D6123A94b8Abe0A0b,,0,0x0000000000000000000000000000000000000000
ink,fraxtal,10000,0xFEbCF17b11376C724AB5a5229803C6e838b6eAe5,,0,0x0000000000000000000000000000000000000000
arbitrum,fraxtal,10000,0x31CAe3B7fB82d847621859fb1585353c5720660D,,0,0x0000000000000000000000000000000000000000
optimism,fraxtal,10000,0x2D2ea0697bdbede3F01553D2Ae4B8d0c486B666e,,0,0x0000000000000000000000000000000000000000
polygon,fraxtal,10000,0xCd3F213AD101472e1713C72B1697E727C803885b,,0,0x0000000000000000000000000000000000000000
avalanche,fraxtal,10000,0x90E595783E43eb89fF07f63d27B8430e6B44bD9c,,0,0x0000000000000000000000000000000000000000
bnb,fraxtal,10000,0x3ebD570ed38B1b3b4BC886999fcF507e9D584859,,0,0x0000000000000000000000000000000000000000
zkevm,fraxtal,10000,0xbE4fB271cfB7bcbB47EA9573321c7bfe309fc220,,0,0x0000000000000000000000000000000000000000
zksync,fraxtal,10000,0x664e390e672A811c12091db8426cBb7d68D5D8A6,,0,0x0000000000000000000000000000000000000000
abstract,fraxtal,10000,0x643E1471f37c4680Df30cF0C540Cd379a0fF58A5,,0,0x0000000000000000000000000000000000000000
berachain,fraxtal,10000,0x4208D6E27538189bB48E603D6123A94b8Abe0A0b,,0,0x0000000000000000000000000000000000000000
linea,fraxtal,10000,0x0408804C5dcD9796F22558464E6fE5bDdF16A7c7,,0,0x0000000000000000000000000000000000000000
aurora,fraxtal,10000,0xA2b402FFE8dd7460a8b425644B6B9f50667f0A61,,0,0x0000000000000000000000000000000000000000
hyperliquid,fraxtal,10000,0x41Bdb4aa4A63a5b2Efc531858d3118392B1A1C3d,,0,0x0000000000000000000000000000000000000000
katana,fraxtal,-,-,,-,-
plumephoenix,fraxtal,10000,0x41Bdb4aa4A63a5b2Efc531858d3118392B1A1C3d,,0,0x0000000000000000000000000000000000000000
scroll,fraxtal,10000,0x581b26F362AD383f7B51eF8A165Efa13DDe398a4,,0,0x0000000000000000000000000000000000000000
unichain,fraxtal,10000,0x4208D6E27538189bB48E603D6123A94b8Abe0A0b,,0,0x0000000000000000000000000000000000000000
worldchain,fraxtal,10000,0xcCE466a522984415bC91338c232d98869193D46e,,0,0x0000000000000000000000000000000000000000
plasma,fraxtal,-,-,,-,-
